item_id,title,category,description,price,image_url
B06X16Z7DZ,"Apple EarPods Headphones with 3.5mm Plug. Microphone with Built-in Remote to Control Music, Phone Calls, and Volume. Wired Earbuds",HEADPHONES,,14.2,
B06XC29HPY,nan,nan,,74.95,
B06Y1JPZ4F,"Anthony's Premium Nutritional Yeast Flakes, 1 lb, Fortified, Gluten Free, Non GMO, Vegan",LEAVENING_AGENT,,14.89,
B06Y5T6DTJ,Ginger Ground – 12 oz,HERB,,8.99,
B071JVP8MC,"Anthony's Organic Instant Coffee,14oz, Ultra Fine Microground, Gluten Free, Arabica, Non GMO",COFFEE,,15.989999999999998,
B071YSRB3F,"roro Handmade Ceramic Organic Stoneware Speckled Matte Black Mixing snd pasta Bowls Set, 7"" Wide, Set of 2",DISHWARE_BOWL,,27.72,
B07211S2MK,"Tillandsia Air Plants Live Indoor Plants (12PK), Airplants Variety Live Plant Kit, Tropical Plants Live Houseplants, Air Plant Live Succulents Plants Live Plants Indoor House Plants by Plants for Pets",PLANT_SEED,,18.95,
B0725R2J7B,Clipco Push Pins Jar (200-Count) (White),SHARP_PIN,,4.95,
B0731XTHS4,Jean Pierre – Stonewash Racetrack Bath Rug | Cotton | Premium Bathroom Décor | Machine Washable | Highly Absorbent | Measures 17” x 24” | Lt Gray,RUG,,12.47,
B073XJ3T14,"KaBloom Live Plant Collection: Set of 4 Live Plants in a 3-inch Terracotta Clay Pot - Coffee Plant, Fern, Hypoestes, & Spider Plant",GROCERY,,22.28,
B073XR4XZQ,"Nike Indy Wire-Free Sports Bra, S, Black",BRA,,45.73,
B07438K2JK,Bluemaple Womens Ankle Socks Women Socks Casual Socks,SOCKS,,9.99,
B074CR89QG,"Amazon Brand - Presto! Flex-a-Size Paper Towels, 158-Sheet Huge Roll, 6 Count (Pack of 2), 12 Huge Rolls = 38 Regular Rolls",PAPER_TOWEL,,23.79,
B074F5NNCP,"Oral-B EssentialFloss Cavity Defense Dental Floss, 50 M, 2 Pack",DENTAL_FLOSS,,3.99,
B074W58X3F,"Oral-B Dental Floss for Braces, Super Floss Pre-Cut Strands, Mint, 50 Count, Pack of 2",DENTAL_FLOSS,,6.99,
B074ZP9VWB,"McCormick Ground Cinnamon, 7.12 oz",HERB,,5.97,
B075KRL8LC,"Organic Cumin Seed Powder by Naturevibe botanicals, 1 lb (Cuminum cyminum L.)",HERB,,9.99,
